timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716628353522,162,/actions/Account.action-112-0,302,,Thread Group 1-7,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,162,0,0
1716628353685,159,/actions/Account.action-112-1,200,,Thread Group 1-7,text,true,,2028,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,159,0,0
1716628353845,161,/actions/Catalog.action-116,200,,Thread Group 1-7,text,true,,1952,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,161,0,0
1716628353524,11453,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2073,693,10,10,null,0,4992,11223
1716628353378,11569,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2072,693,10,10,null,0,5021,11325
1716628353449,11507,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2071,693,10,10,null,0,5012,11263
1716628358515,11453,/actions/Catalog.action-73,200,,Thread Group 1-5,text,true,,2073,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11452,0,11223
1716628358400,11569,/actions/Catalog.action-73,200,,Thread Group 1-9,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11568,0,11325
1716628358462,11507,/actions/Catalog.action-73,200,,Thread Group 1-4,text,true,,2071,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11505,0,11263
1716628353406,11556,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2072,693,10,10,null,0,5009,11325
1716628358416,11556,/actions/Catalog.action-73,200,,Thread Group 1-3,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11554,0,11325
1716628353879,11095,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2071,693,10,10,null,0,5001,10865
1716628358878,11095,/actions/Catalog.action-73,200,,Thread Group 1-2,text,true,,2071,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11094,0,10865
1716628353404,11559,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2070,693,10,10,null,0,5011,11329
1716628358415,11559,/actions/Catalog.action-73,200,,Thread Group 1-10,text,true,,2070,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11558,0,11329
1716628353628,11345,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2069,693,10,10,null,0,5005,11131
1716628354008,10975,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2069,693,10,10,null,0,4995,10760
1716628358631,11345,/actions/Catalog.action-73,200,,Thread Group 1-1,text,true,,2069,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11344,0,11131
1716628359001,10975,/actions/Catalog.action-73,200,,Thread Group 1-7,text,true,,2069,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,10974,0,10760
1716628353906,11078,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2071,693,10,10,null,0,4997,10884
1716628353363,11603,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2070,693,10,10,null,0,5014,11407
1716628358377,11603,/actions/Catalog.action-73,200,,Thread Group 1-8,text,true,,2070,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11602,0,11407
1716628358901,11078,/actions/Catalog.action-73,200,,Thread Group 1-6,text,true,,2071,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11077,0,10884
1716628369969,156,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1942,872,10,10,null,0,5001,0
1716628369969,156,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,1949,872,10,10,null,0,5001,0
1716628374970,156,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-4,text,true,,1942,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,156,0,0
